Successfully imported torchao. FP8 training enabled.
/root/gptspeedrun/./train_gpt2_4090_90min_3_25loss.py:316: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
Converting Linear layers to Float8...
Run ID: d31b0c18-c90a-422a-be83-b262e70757f4
Step	Loss	Time(ms)	kt/s	Window	ETA(m)	Malbo Loss
369	3.469	    3268	160.4	512	75.3	3.510
370	3.609	    3273	160.2	512	75.3	3.672
371	3.531	    3277	160.0	512	75.4	3.582
372	3.625	    3269	160.4	512	75.1	3.685
373	3.547	    3273	160.2	512	75.2	3.602
374	3.781	    3274	160.1	512	75.1	3.841
375	3.906	    3262	160.7	512	74.8	3.971
376	3.891	    3271	160.3	512	75.0	3.841
377	3.703	    3268	160.4	512	74.8	3.762
378	3.750	    3266	160.5	512	74.7	3.804
379	3.766	    3273	160.2	512	74.8	3.814
380	3.703	    3271	160.3	512	74.7	3.753
381	3.703	    3273	160.2	512	74.7	3.775
382	3.734	    3274	160.2	512	74.7	3.783
383	3.750	    3275	160.1	512	74.7	3.818
384	3.656	    3277	160.0	512	74.7	3.720
385	3.766	    3263	160.7	512	74.3	3.822
386	3.891	    3271	160.3	512	74.4	3.951
387	3.578	    3269	160.4	512	74.3	3.644
388	3.516	    3275	160.1	512	74.4	3.582
389	3.453	    3268	160.5	512	74.2	3.502
390	3.500	    3276	160.0	512	74.3	3.569
391	3.688	    3270	160.3	512	74.1	3.738
392	3.734	    3270	160.3	512	74.1	3.803
393	3.766	    3270	160.3	512	74.0	3.826
394	3.578	    3270	160.3	512	74.0	3.630
395	3.984	    3269	160.4	512	73.9	4.038
396	3.438	    3278	159.9	512	74.0	3.500
397	3.531	    3264	160.6	512	73.7	3.594
398	3.891	    3275	160.1	512	73.8	3.959
399	3.453	    3273	160.2	512	73.7	3.515
400	3.594	    3277	160.0	512	73.8	3.656
401	3.812	    3270	160.3	512	73.6	3.872
402	3.516	    3273	160.2	512	73.6	3.583
403	3.797	    3271	160.3	512	73.5	3.856
404	3.609	    3269	160.4	512	73.4	3.674
405	3.500	    3269	160.4	512	73.3	3.558
406	3.609	    3269	160.4	512	73.3	3.650
407	3.672	    3277	160.0	512	73.4	3.722
408	3.578	    3270	160.3	512	73.2	3.647
409	3.625	    3269	160.4	512	73.1	3.692
410	3.609	    3268	160.4	512	73.0	3.666
411	3.562	    3269	160.4	512	73.0	3.614
412	3.375	    3278	160.0	512	73.1	3.438
413	3.531	    3269	160.4	512	72.9	3.590
414	3.406	    3280	159.9	512	73.1	3.467
415	3.656	    3275	160.1	512	72.9	3.722
416	3.406	    3272	160.2	512	72.8	3.470
417	3.594	    3277	160.0	512	72.8	3.636
418	3.625	    3273	160.2	512	72.7	3.691
419	3.672	    3274	160.1	512	72.7	3.729
420	3.531	    3273	160.2	512	72.6	3.607
